facc,type,symbol,conditions,size,xoff,yoff
AA010,P,0001,,,,
AA010,A,0027 0624,,,,
AB000,A,0624,,,,
AB010,A,0624,,,,
AC000,A,0624,,,,
AC030,A,4077,,,,
AD010,A,0804,,,,
AD030,P,0002,,,,
AD030,A,0804,,,,
AF010,P,0003,,,,
AF030,P,0004,,,,
AF040,P,0005,,,,
AF070,P,0006,,,,
AH010,P,0007,,,,
AH010,A,0804,,,,
AH050,P,0007,,,,
AH050,A,0804,,,,
AJ050,P,0008,,,,
AK020,P,0024,,,,
AK020,L,0600,,,,
AK040,A,0804,,,,
AK080,P,0024,,,,
AK090,A,0822,,,,
AK130,L,0605,,,,
AK160,P,0002,,,,
AK160,A,0804,,,,
AL005,A,0081 0734,,,,
AL015,P,0002,bfc=81ANDsta=0or2or3or6or11,,,
AL015,P,0010,bfc=7ANDhwt=0or2or3or4or7or22,,,
AL015,P,0011,bfc=7ANDhwt=11or14or15or16or20or21,,,
AL015,P,0012,bfc=7ANDhwt=5or6or9,,,
AL015,P,0013,bfc=81ANDsta=1,,,
AL015,P,0014,bfc=81ANDsta=5,,,
AL015,P,0015,bfc=81ANDsta<>0and<>1and<>2and<>3and<>5and<>6and<>11,,,
AL015,P,0401,bfc=81ANDsta=5ANDsst<>16,.5,0,.5
AL015,P,0402,bfc=81ANDsta<>5ANDsst<>16,,,
AL015,P,2036,bfc<>7and<>81,,,
AL015,A,0804,,,,
AL018,P,0002,,,,
AL020,P,0016,,,,
AL020,A,0804,,,,
AL025,P,0017,,,,
AL030,A,0804,,,,
AL050,P,0018,,,,
AL070,L,0600,,,,
AL073,P,0019,,,,
AL130,P,0020,,,,
AL200,P,0002,loc=22ANDvrr=1,,,
AL200,P,0002,loc=8,,,
AL200,P,0052,loc=22ANDvrr=4ANDhdp=0,,,
AL200,P,0053,loc=22ANDvrr=4ANDhdp>0and<=20,,,
AL200,P,0054,loc=22ANDvrr=4ANDhdp>20,,,
AL200,P,0055,loc=22ANDvrr=8,,,
AL200,A,0804,loc=22ANDvrr=1,,,
AL200,A,0804,loc=8,,,
AL200,A,0803,loc=22ANDvrr=8,,,
AL200,A,0629,loc=22ANDvrr=4ANDhdp>20,,,
AL200,A,0680,loc=22ANDvrr=4ANDhdp>0and<=20,,,
AL200,A,0810,loc=22ANDvrr=4ANDhdp=0,,,
AL240,P,0004,,,,
AL260,L,0600,,,,
AM010,A,0624,,,,
AM020,P,0021,,,,
AM030,P,0004,,,,
AM030,A,0804,,,,
AM040,A,0624,,,,
AM070,P,0022,,,,
AM070,A,0804,,,,
AM080,P,0023,,,,
AN010,L,0605,,,,
AN060,A,0802,,,,
AP020,L,0605,,,,
AP030,L,0605,,,,
AQ010,L,0657,,,,
AQ020,P,0024,,,,
AQ040,L,0627,bsc<>12ANDbot<>4and<>10and<>11,,,
AQ040,L,0753,bsc=12ORbot=4or10or11,,,
AQ040,A,0611,bsc<>12ANDbot<>4and<>10and<>11,,,
AQ040,A,0611,bsc=12ORbot=4or10or11,,,
AQ045,L,0627,,,,
AQ045,A,0611,,,,
AQ060,P,0004,,,,
AQ070,L,0700,fer=2,,,
AQ070,L,0701,fer=1,,,
AQ080,P,0096,,,,
AQ110,P,0026,,,,
AQ113,L,0610,loc=25,,,
AQ113,L,0704,loc<>25ANDpro=95ORplt=2or3,,,
AQ113,L,0704,loc<>25ANDpro=116,,,
AQ113,L,0705,loc<>25ANDpro<>95and<>116ANDplt<>2and<>3,,,
AQ116,P,0002,,,,
AQ116,A,0804,,,,
AQ130,L,0656,,,,
AT005,L,0708,,,,
AT010,P,2102,,,,
AT020,A,0804,,,,
AT030,L,0657,,,,
AT040,P,0024,,,,
AT045,P,0028,ssc=87,,,
AT045,P,0029,ssc=108,,,
AT045,P,0030,ssc=60,,,
AT045,P,0031,ssc=107,,,
AT045,P,0511,ssc=0or999,,,
AT050,P,0033,,,,
AT060,L,0657,,,,
AT080,P,0004,,,,
BA010,L,0632,slt=6or8,,,
BA010,L,0743,acc=2ANDslt<>6and<>8,,,
BA010,L,1573,acc=1ANDslt<>6and<>8,,,
BA020,P,0150,,,,
BA020,L,3082,,,,
BA020,A,0803,,,,
BA020,A,0949,,,,
BA030,P,0035,,,,
BA030,A,0822,,,,
BA040,A,0805,,,,
BB010,P,0036,mac<>12,,,
BB010,P,0037,mac=12,,,
BB010,L,0711,mac<>12,,,
BB010,L,3000,mac=12,,,
BB010,A,0037 3000,mac=12,,,
BB010,A,0902 0711,mac<>12,,,
BB020,P,0032,,,,
BB030,P,0051,,.35,,
BB040,L,0623,vrr=1,,,
BB040,L,0626,vrr=4or8,,,
BB040,A,0623,vrr=1,,,
BB040,A,0626,vrr=4or8,,,
BB050,P,0039,df3<>0,,,
BB050,P,0039,df3<>0,,,
BB050,P,0039,df3<>0,,,
BB050,P,0039,df4<>0,,,
BB050,P,0039,df1<>0ANDdf2=0,,,
BB050,P,0040,df2<>0ANDdf3=0,,,
BB050,P,0041,df1=0,,,
BB080,P,0038,,,,
BB090,A,1573 0822,,,,
BB100,L,0712,,,,
BB105,P,0042,,,,
BB110,A,0047 0716,,,,
BB115,A,0656,,,,
BB140,L,0623,vrr=1,,,
BB140,L,0626,vrr=4or8,,,
BB140,A,0623,vrr=1,,,
BB140,A,0626,vrr=4or8,,,
BB150,P,0043,,,,
BB150,A,0804,,,,
BB160,P,0038,,,,
BB170,P,0044,,,,
BB170,P,0500,cha=21,,,
BB170,L,0625,,,,
BB170,A,0804,,,,
BB180,P,0045,,,,
BB180,A,0904,,,,
BB190,L,0625,,,,
BB190,A,0625,,,,
BB220,L,0623,vrr=1,,,
BB220,L,0626,vrr=4or8,,,
BB220,A,0623,vrr=1,,,
BB220,A,0626,vrr=4or8,,,
BB230,L,0623,,,,
BB240,L,0623,vrr=1,,,
BB240,L,0626,vrr=4or8,,,
BC010,P,0009,nst=45,,,
BC010,P,0100,,,,
BC010,P,0114,tmc=19or31,,,
BC010,P,0122,tmc=16or21,,,
BC010,P,0124,tmc=22,,,
BC010,P,0125,tmc=3,,,
BC010,P,0126,tmc=8,,,
BC010,P,0127,tmc=1,,,
BC010,P,0128,tmc=9,,,
BC010,P,0130,tmc=15or27or28,,,
BC010,P,0132,tmc=2,,,
BC010,P,0133,tmc=25or26or29,,,
BC010,P,0185,tmc=6,,,
BC010,P,0186,tmc=23or30,,,
BC010,P,0187,tmc=18,,,
BC010,P,0188,tmc=17,,,
BC010,P,0199,tmc=0or32,,,
BC010,P,0401,sst=1or2or3or4or6or9or14or15,.5,0,.5
BC010,P,0510,ref=1,,0,-.25
BC010,P,0511,nst=1or4or5or17or41or51or53,,,
BC010,P,0512,nst=10or54,,,
BC020,P,0009,nst=45,,,
BC020,P,0051,btc=35,.35,,
BC020,P,0202,tmc=16or21,,,
BC020,P,0204,tmc=22,,,
BC020,P,0205,tmc=3,,,
BC020,P,0206,tmc=8,,,
BC020,P,0207,tmc=1,,,
BC020,P,0208,tmc=9,,,
BC020,P,0210,tmc=15or27or28,,,
BC020,P,0212,tmc=2,,,
BC020,P,0213,tmc=25or26or29,,,
BC020,P,0214,tmc=19or31,,,
BC020,P,0217,tmc=23or30,,,
BC020,P,0265,tmc=6,,,
BC020,P,0299,tmc=0or17or18or32,,,
BC020,P,0300,btc=0ANDssc=0or85or999,,,
BC020,P,0301,btc=0ANDssc=1,,,
BC020,P,0302,btc=0ANDssc=7,,,
BC020,P,0303,btc=0ANDssc=6,,,
BC020,P,0304,btc=7ANDssc=1,,,
BC020,P,0305,btc=7ANDssc=7,,,
BC020,P,0306,btc=0ANDssc=10,,,
BC020,P,0307,btc=0ANDssc=17,,,
BC020,P,0308,btc=0ANDssc=16,,,
BC020,P,0309,btc=10,,,
BC020,P,0309,btc=0ANDssc=73,,,
BC020,P,0310,btc=4,,,
BC020,P,0311,btc=7ANDssc<>1and<>7,,,
BC020,P,0401,sst=1or2or3or4or6or9or14or15,.5,0,.5
BC020,P,0510,ref=1,,0,-.25
BC020,P,0511,nst=1or4or5or17or41or51or53ANDssc<>10,,,
BC020,P,0512,nst=10or54ANDssc<>10,,,
BC020,P,0513,btc=6,,,
BC020,P,4325,nst=1or4or5or17or41or51or53ANDssc=10,,,
BC020,P,4326,nst=10or54ANDssc=10,,,
BC040,P,0009,nst=45,,,
BC040,P,0051,,.35,,
BC040,P,0114,tmc=19or31,,,
BC040,P,0122,tmc=16or21,,,
BC040,P,0124,tmc=22,,,
BC040,P,0125,tmc=3,,,
BC040,P,0126,tmc=8,,,
BC040,P,0127,tmc=1,,,
BC040,P,0128,tmc=9,,,
BC040,P,0130,tmc=15or27or28,,,
BC040,P,0132,tmc=2,,,
BC040,P,0133,tmc=25or26or29,,,
BC040,P,0185,tmc=6,,,
BC040,P,0186,tmc=23or30,,,
BC040,P,0187,tmc=18,,,
BC040,P,0188,tmc=17,,,
BC040,P,0199,tmc=0or32,,,
BC040,P,0401,sst=1or2or3or4or6or9or14or15,.5,0,.5
BC040,P,0510,ref=1,,0,-.25
BC040,P,0511,nst=1or4or5or17or41or51or53,,,
BC040,P,0512,nst=10or54,,,
BC040,L,0713,,,,
BC055,P,0151,,,,
BC060,A,3116,,,,
BC070,P,0009,nst=45,,,
BC070,P,0401,sst=1or2or3or4or6or9or14or15,.5,0,.5
BC070,P,0510,ref=1,,0,-.25
BC070,P,0511,nst=1or4or5or17or41or51or53,,,
BC070,P,0512,nst=10or54,,,
BC070,P,0514,,,,
BC080,P,0052,,,,
BC080,A,0810,,,,
BC100,L,0656,,,,
BD000,P,0052,hdp=0,,,
BD000,P,0053,hdp>0and<=20,,,
BD000,P,0054,hdp>20,,,
BD000,P,0058,acc<>1,,,
BD000,A,0629,hdp>20,,,
BD000,A,0680,hdp>0and<=20,,,
BD000,A,0810,hdp=0,,,
BD000,A,0058,acc<>1,,,
BD010,P,0056,,,,
BD010,L,0752,,,,
BD010,A,0656,,,,
BD020,P,0052,vrr=4ANDhdp=0,,,
BD020,P,0053,vrr=4ANDhdp>0and<=20,,,
BD020,P,0054,vrr=4ANDhdp>20,,,
BD020,P,0055,vrr=8ANDhdp=NULL,,,
BD020,P,0057,vrr=1ANDhdp=NULL,,,
BD020,P,0058,acc<>1,,,
BD020,A,0804,vrr=1ANDhdp=NULL,,,
BD020,A,0803,vrr=8ANDhdp=NULL,,,
BD020,A,0629,vrr=4ANDhdp>20,,,
BD020,A,0680,vrr=4ANDhdp>0and<=20,,,
BD020,A,0810,vrr=4ANDhdp=0,,,
BD020,A,0058,acc<>1,,,
BD030,P,0052,,,,
BD030,P,0058,acc<>1,,,
BD030,A,0810,,,,
BD030,A,0058,acc<>1,,,
BD040,P,0056,,,,
BD040,A,0656,,,,
BD050,P,0059,,,,
BD050,A,0059 0716,,,,
BD060,P,0060,,,,
BD060,A,3077,,,,
BD080,P,0056,,,,
BD080,A,0656,,,,
BD100,P,0051,,.35,,
BD100,A,0804,vrr=1,,,
BD100,A,0803,vrr=8,,,
BD100,A,0810,vrr=4,,,
BD100,A,0058,acc<>1,,,
BD110,P,0061,,,,
BD110,P,0402,sst<>16,,,
BD110,P,0500,cha=21,,,
BD110,P,0512,nst=10or54,,,
BD120,A,0803,vrr=8,,,
BD120,A,0949,vrr=8ANDisdm=1,,,
BD120,A,0629,vrr=4ANDhdp>20,,,
BD120,A,0680,vrr=4ANDhdp>0and<=20,,,
BD120,A,0810,vrr<>8ANDhdp=0orNULL,,,
BD120,A,0058,vrr<>8ANDacc<>1,,,
BD130,P,0053,vrr=4ANDhdp>0and<=20,,,
BD130,P,0054,vrr=4ANDhdp>20,,,
BD130,P,0058,acc<>1,,,
BD130,P,0062,vrr=4ANDhdp=0,,,
BD130,P,0063,hdp=NULL,,,
BD140,P,0052,vrr=4ANDhdp=0,,,
BD140,P,0053,vrr=4ANDhdp>0and<=20,,,
BD140,P,0054,vrr=4ANDhdp>20,,,
BD140,P,0055,vrr=8ANDhdp=NULL,,,
BD140,P,0057,vrr=1ANDhdp=NULL,,,
BD140,P,0058,acc<>1,,,
BD140,A,0804,vrr=1,,,
BD140,A,0803,vrr=8,,,
BD140,A,0810,vrr=4,,,
BD140,A,0058,acc<>1,,,
BD180,P,0053,vrr=4ANDhdp>0and<=20,,,
BD180,P,0054,vrr=4ANDhdp>20,,,
BD180,P,0058,acc<>1,,,
BD180,P,0064,hdp=NULLANDvrr=1or2or8,,,
BD180,P,0064,loc<>4ANDhdp=NULL,,,
BD180,P,0065,vrr=4ANDsoh=1ANDhdp=0,,,
BD180,P,0065,hdp=NULLANDvrr=0,,,
BD180,P,0066,vrr=4ANDsoh=2ANDhdp=0,,,
BD180,A,0804,vrr=1ANDhdp=NULL,,,
BD180,A,0803,vrr=8ANDhdp=NULL,,,
BD180,A,0810,vrr=4ANDhdp=0,,,
BD180,A,0810,vrr=0or2ANDhdp=NULL,,,
BD180,A,0680,vrr=4ANDhdp>0and<=20,,,
BD180,A,3117,vrr=4ANDhdp>20,,,
BE010,L,0608,acc=1,,,
BE010,L,0614,acc=2,,,
BE010,A,0805,idsm=1ANDcvl>=ssdcand<>99999,,,
BE010,A,0805,idsm=0ANDcvl>=msdcand<>99999,,,
BE010,A,0810,idsm=1ANDisdm=0ANDcvl<ssdc,,,
BE010,A,0810,idsm=1ANDisdm=1ANDcvl<ssdc,,,
BE010,A,0810,idsm=0ANDisdm=0ANDcvl<mssc,,,
BE010,A,0810,idsm=0ANDisdm=1ANDcvl<mssc,,,
BE010,A,0820,idsm=0ANDcvl>=ssdcand<msdc,,,
BE010,A,0821,idsm=0ANDisdm=0ANDcvl>=msscand<ssdc,,,
BE010,A,0821,idsm=0ANDisdm=1ANDcvl>=msscand<ssdc,,,
BE010,A,0823,cvl=99999,,,
BE010,A,0934,cvl=99999,,,
BE010,A,0949,idsm=0ANDisdm=1ANDcvl>=msscand<ssdc,,,
BE010,A,0949,idsm=1ANDisdm=1ANDcvl<ssdc,,,
BE010,A,0949,idsm=0ANDisdm=1ANDcvl<mssc,,,
BE010,A,0631,cvl=99999,,,
BE020,P,1251,acc<>1,,,
BE020,P,1256,hdh>=0ANDhdp=NULL,,,
BF010,P,1233,mcc=0ANDpsc=0,,,
BG010,P,0071,cur=0ORdof=0,,,
BG010,P,0072,cur=3or5ANDdof<>0,,,
BG010,P,0073,cur=1ANDdof<>0,,,
BG010,P,0074,cur=2ANDdof<>0,,,
BG020,P,0015,,,,
BG030,P,0076,,,,
BG040,P,0154,,,,
BH010,L,0610,loc=25,,,
BH010,L,0704,loc<>25,,,
BH020,L,0600,,,,
BH020,A,0810,,,,
BH050,A,0904,,,,
BH080,A,0810,,,,
BH090,A,6050,,,,
BH095,A,0910,,,,
BH120,L,0610,,,,
BH130,A,0810,,,,
BH140,L,0600,,,,
BH140,A,0810,,,,
BH155,A,0911,,,,
BH180,L,0615,,,,
BH210,L,0600,,,,
BI020,L,0607,,,,
BI030,A,0810,,,,
BI040,L,0623,,,,
BJ030,A,0823,,,,
BJ030,A,0912,,,,
BJ060,P,0077,,,,
BJ065,A,0823,,,,
BJ065,A,0912,,,,
BJ100,A,0823,,,,
BJ100,A,0912,,,,
BJ110,A,0822,,,,
CA010,L,0604,,,,
CA030,P,0078,,,,
DA010,A,0822,,,,
DB090,L,3082,,,,
DB090,A,0913,,,,
DB170,A,0913,,,,
EA030,A,0914,,,,
EA040,A,0915,,,,
EA050,A,0915,,,,
EC030,P,0079,,,,
EC030,A,0915,veg<>19,,,
EC030,A,0916,veg=19,,,
FA000,L,0680,use=32,,,
FA000,L,1310,use=23,,,
FA020,L,3119,,,,
FA040,L,3120,,,,
FA060,L,1310,,,,
FA110,L,3119,,,,
FC021,P,0080,mac=48,,,
FC021,P,0084,mac<>48,,,
FC021,L,0629,mac=56ANDmbl=NULL,,,
FC021,L,0629,mbl<>7and<>13ANDmac=NULL,,,
FC021,L,0631,mac=26ANDmbl=NULL,,,
FC021,L,0633,mac=57ANDmbl=NULL,,,
FC021,L,0634,mac=30or35ANDmbl=NULL,,,
FC021,L,0634,mac=25ANDmbl=NULL,,,
FC021,L,0635,mac=49ANDmbl=NULL,,,
FC021,L,0635,mac=31ANDmbl=NULL,,,
FC021,L,0656,mbl=13ANDmac=NULL,,,
FC021,L,0656,mac=55ANDmbl=NULL,,,
FC021,L,0663,mac=42ANDmbl=NULL,,,
FC021,L,0663,mac=0or999ANDmbl=NULL,,,
FC021,L,1651,mac=48ANDmbl=NULL,,,
FC021,L,3077,mbl=7ANDmac=NULL,,,
FC021,L,4186,mac=44ANDmbl=NULL,,,
FC021,L,4186,mac=58ANDmbl=NULL,,,
FC021,L,4186,mac=32or33ANDmbl=NULL,,,
FC021,L,4186,mac=27or28or29ANDmbl=NULL,,,
FC021,L,4186,mac=24ANDmbl=NULL,,,
FC021,A,0823,mac=26,,,
FC021,A,0933,mac=26,,,
FC021,A,0631,mac=26,,,
FC021,A,0716,mac=55,,,
FC021,A,0716 0904,mac=57,,,
FC021,A,0047 0716,mac=56,,,
FC021,A,0080 0734,mac=48,,,
FC021,A,0081 0734,mac=25or30or35,,,
FC021,A,0081 0734,mac=49,,,
FC021,A,0081 0734,mac=31,,,
FC021,A,0092 0738 0917,mac=42,,,
FC021,A,0093 0734,mac=44,,,
FC021,A,0093 0734,mac=58,,,
FC021,A,0093 0734,mac=32or33,,,
FC021,A,0093 0734,mac=27or28or29,,,
FC021,A,0093 0734,mac=24,,,
FC021,A,0097 0742,mac=0or999,,,
FC031,P,0082,mac=5,,,
FC031,P,0083,mac=40,,,
FC031,P,0084,mac=0,,,
FC031,P,0087,mac=2,,,
FC031,P,0093,mac=4,,,
FC031,L,0663,mac=0or9,,,
FC031,L,0665,mac=40or41,,,
FC031,L,3077,mac=2,,,
FC031,L,4186,mac=5,,,
FC031,L,4186,mac=4,,,
FC031,A,0803,mac=2ANDhdp=0ANDisdm=0,,,
FC031,A,0803,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,0805,mac=2ANDidsm=1ANDhdp>=ssdc,,,
FC031,A,0805,mac=2ANDidsm=0ANDhdp>=msdc,,,
FC031,A,0810,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=0,,,
FC031,A,0810,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=1,,,
FC031,A,0810,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=0,,,
FC031,A,0810,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=1,,,
FC031,A,0820,mac=2ANDidsm=0ANDhdp>=ssdcand<msdc,,,
FC031,A,0821,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=0,,,
FC031,A,0821,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=1,,,
FC031,A,0919,mac=2ANDidsm=1ANDhdp>=ssdc,,,
FC031,A,0919,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=0,,,
FC031,A,0919,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=1,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>=msdc,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=0,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=1,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>=ssdcand<msdc,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=0,,,
FC031,A,0919,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=1,,,
FC031,A,0919,mac=2ANDhdp=0ANDisdm=0,,,
FC031,A,0919,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,0949,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=1,,,
FC031,A,0949,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=1,,,
FC031,A,0949,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=1,,,
FC031,A,0949,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>=ssdc,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msdc,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=ssdcand<msdc,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=1,,,
FC031,A,3077,mac=2ANDhdp=0ANDisdm=0,,,
FC031,A,3077,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,0082 0734,mac=5,,,
FC031,A,0083 0917,mac=40,,,
FC031,A,0093 0734,mac=4,,,
FC031,A,0097 0742,mac=0or9,,,
FC031,A,1236 0722,mac=41,,,
FC036,P,0082,mac=43,,,
FC036,P,0085,mac=22,,,
FC036,P,0086,mac=15,,,
FC036,P,0087,mac=0or999,,,
FC036,P,0093,mac=37,,,
FC036,L,0722,,,,
FC036,A,0081 0735,mac=21or23or61,,,
FC036,A,0081 0736,mac=45or46,,,
FC036,A,0082 0734,mac=43,,,
FC036,A,0085 0740,mac=22,,,
FC036,A,0086 0739,mac=15,,,
FC036,A,0087 0734,mac=0or999,,,
FC036,A,0093 0734,mac=37,,,
FC036,A,0094 0737,mac=20,,,
FC041,P,0088,,,,
FC041,L,0620,tsp=4,,,
FC041,L,0665,tsp=2,,,
FC041,A,0824,tsp=3,,,
FC041,A,0097 0917,tsp=6or7,,,
FC100,L,0656,,,,
FC130,L,0663,,,,
FC165,P,0089,dof=0,,,
FC165,P,1220,dof<>0,,,
FC165,L,0723,atn=1ANDexs=22ANDrtt=3,,,
FC165,L,0724,atn=2ANDexs=22ANDrtt=3,,,
FC165,L,0725,atn=1ANDexs=23ANDrtt=3,,,
FC165,L,0726,atn=2ANDexs=23ANDrtt=3,,,
FC165,L,0727,exs=0ANDrtt=3,,,
FC165,L,0728,atn=1ANDexs=22ANDrtt<>3,,,
FC165,L,0729,atn=2ANDexs=22ANDrtt<>3,,,
FC165,L,0730,atn=1ANDexs=23ANDrtt<>3,,,
FC165,L,0731,atn=2ANDexs=23ANDrtt<>3,,,
FC165,L,0732,exs=0ANDrtt<>3,,,
FC165,A,0097 0742,rtt=0,,,
FC165,A,0098 0734,rtt=11,,,
FC165,A,1238 0741,rtt=4,,,
FC170,L,0732,,,,
FC170,A,0091 0716,,,,
FC177,L,0656,,,,
FC177,A,0095 0716,,,,
GA020,P,0501,,,,
GA035,P,0511,,,,
GB005,P,0090,,,,
GB005,A,0822,,,,
GB005,A,0600 0932,,,,
GB010,P,0503,,,,
GB055,L,0606,,,,
GB055,A,0804,,,,
GB070,L,0634,,,,
GB070,A,0734 0634,,,,
ZC040,A,0733 0716,,,,
